sourceTaxonId	sourceTaxonName	stage	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	LocationinhostName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	notes	referenceSource	referenceDoi	referenceCitation
EOL:10620982	Gyrinicola batrachiensis	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:331212	Lithobates sylvaticus	gut						only infects tadpoles; can either autoinfect or release thick-shelled dispersing eggs depending on host and its seasonal availability	Adamson. 1980. Can. J. Zool. 59: 1344-1350	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:10620982	Gyrinicola batrachiensis	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:1019159	Anaxyrus americanus	gut						only infects tadpoles; can either autoinfect or release thick-shelled dispersing eggs depending on host and its seasonal availability	Adamson. 1980. Can. J. Zool. 59: 1344-1350	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:10620982	Gyrinicola batrachiensis	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:331209	Hyla versicolor	gut						only infects tadpoles; can either autoinfect or release thick-shelled dispersing eggs depending on host and its seasonal availability	Adamson. 1980. Can. J. Zool. 59: 1344-1350	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968980	Amoebotaenia cuneata	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:1050069	Columba livia	gut							Adang et al. 2008. Sci. World J. 3: 33-37	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
	Hymenolepis carioca	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:1050069	Columba livia	gut							Adang et al. 2008. Sci. World J. 3: 33-37	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:16843115	Raillietina cesticillus	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:1050069	Columba livia	gut							Adang et al. 2008. Sci. World J. 3: 33-37	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968677	Raillietina echinobothrida	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:1050069	Columba livia	gut							Adang et al. 2008. Sci. World J. 3: 33-37	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968675	Raillietina tetragona	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:1050069	Columba livia	gut							Adang et al. 2008. Sci. World J. 3: 33-37	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:11988082	Taenia martis	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:328585	Gulo gulo	gut							Addison and Boles. 1978. Can. J. Zool. 56: 2241-2242	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:6835926	Crenosoma petrowi	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:328585	Gulo gulo	lungs							Addison and Fraser. 1994. Can. J. Zool. 72: 300-302	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
